Date,High,Low,Open,Close,Volume,Adj Close
2019-09-17,1114216.125,1105058.25,1107717.625,1105793.25,1753229386055.0,1105793.25
2019-09-18,1112284.875,1064320.125,1106037.0,1109124.5,2153953520605.0,1109124.5
2019-09-19,1106245.875,1089717.0,1109114.0,1095035.875,1584662593131.0,1095035.875
2019-09-20,1095730.25,1075576.5,1095251.75,1077620.875,1443887898258.0,1077620.875
2019-09-21,1084730.5,1068374.0,1078093.875,1084294.25,1421226297852.0,1084294.25
2019-09-22,1084063.625,1046713.625,1084032.625,1046948.1875,1629707560854.0,1046948.1875
2019-09-23,1050890.5,897236.875,1046947.9375,924008.3125,2679971914083.0,924008.3125
2019-09-24,941733.0625,896564.3125,922171.4375,913966.6875,2341696008979.0,913966.6875
2019-09-25,917705.625,850884.375,914039.5625,874952.6875,2075389380315.0,874952.6875
2019-09-26,892992.4375,860000.125,874320.5,890868.3125,1771507435235.0,890868.3125
2019-09-27,894556.625,877262.25,890806.5625,890270.25,1526749555163.0,890270.25
2019-09-28,891873.5625,862595.6875,890283.4375,874868.6875,1407123344890.0,874868.6875
2019-09-29,898505.125,846257.125,874873.0625,896304.5,1849640892905.0,896304.5
2019-09-30,915517.0625,886965.375,896937.0625,898880.8125,1648953974534.0,898880.8125
2019-10-01,899479.25,881759.1875,898981.625,899479.25,1406677914766.0,899479.25
2019-10-02,899010.75,870398.9375,899236.3125,882531.625,1460433476953.0,882531.625
2019-10-03,883414.4375,871776.1875,882478.4375,877626.6875,1405267196092.0,877626.6875
2019-10-04,878765.5,863319.375,878076.9375,871917.125,1305013982203.0,871917.125
2019-10-05,871459.0625,849830.1875,871743.4375,852959.3125,1405287138328.0,852959.3125
2019-10-06,891152.5625,847961.1875,853062.3125,884413.8125,1931699392846.0,884413.8125
2019-10-07,891437.6875,875716.6875,884545.375,880319.0,1668067602610.0,880319.0
2019-10-08,924614.0,875487.4375,880432.125,921188.25,2077445499967.0,921188.25
2019-10-09,930555.875,914012.5625,920067.25,926369.9375,1900826642666.0,926369.9375
2019-10-10,945336.375,901374.25,926239.3125,901978.5625,2124879658800.0,901978.5625
2019-10-11,912111.25,901066.4375,901318.25,903582.5625,1575163958232.0,903582.5625
2019-10-12,918780.3125,897697.9375,903620.1875,902512.9375,1497674322529.0,902512.9375
2019-10-13,909409.1875,897911.5,902494.125,907726.75,1642248923760.0,907726.75
2019-10-14,915196.5,890386.25,907593.625,892852.25,1656181296466.0,892852.25
2019-10-15,892982.625,867799.5625,892776.625,874585.125,1746626416356.0,874585.125
2019-10-16,883328.8125,868790.375,874616.1875,879971.3125,1554197090976.0,879971.3125
2019-10-17,881919.1875,856318.0,879648.0,864016.625,1696084833207.0,864016.625
2019-10-18,875874.125,860935.75,864081.25,865680.375,1495201375505.0,865680.375
2019-10-19,897884.6875,861849.3125,866682.375,891407.8125,1680914370753.0,891407.8125
2019-10-20,901066.625,890175.875,891737.0625,895313.4375,1723433404934.0,895313.4375
2019-10-21,900020.6875,875917.75,895278.8125,876323.5,1822830429877.0,876323.5
2019-10-22,879203.25,811448.5625,876109.25,816375.1875,2383819512750.0,816375.1875
2019-10-23,818136.8125,808809.5625,815838.125,813859.875,1766927295466.0,813859.875
2019-10-24,944466.1875,812812.5,813557.375,941115.0625,3119235992663.0,941115.0625
2019-10-25,1089012.875,941323.875,941862.3125,1004604.9375,4835185695373.0,1004604.9375
2019-10-26,1060077.25,990816.8125,1004250.125,1038568.625,3543887250354.0,1038568.625
2019-10-28,1068453.875,1008633.25,1040024.1875,1008633.25,3372400435253.0,1008633.25
2019-10-29,1036102.75,1005232.25,1007793.3125,1026467.75,3095050946026.0,1026467.75
2019-10-30,1025565.0,988412.25,1025898.9375,1001506.0,3014238697879.0,1001506.0
